ctx,predicted_per_second,prompt_per_second,load_time_s
24000,43.81028283266104,85.44114037513322,7
32000,42.72643761962834,99.65916565346515,5
50000,40.86228107163506,89.92849866824069,5
64000,42.663994266685364,89.49215641927239,4
80000,15.874830675509509,61.427531149342606,5
100000,39.84881191191208,87.72881269419969,4
